"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF.dn","pval.TADA.dn","qvalue.dn"
"DEFB106A",2.414e-06,0,0,0,0,0,0,0,0,0,0,0.972521224438969,0.0462791566586603,0.751515893981634
"DEFB106B",2.414e-06,0,0,0,0,0,0,0,0,0,0,0.972521224438969,0.0462791566586603,0.751689601905199
"C1orf31",2.421e-06,0,0,1,0,0,0,0,2,0,0,0.972442747480279,0.0463319989324793,0.751862996609501
"MT1X",2.423e-06,0,1,2,0,0,0,0,1,1,0,0.972420326757578,0.0463848412062984,0.752036076057701
"FAM150B",2.437e-06,0,0,2,0,0,0,0,1,0,0,0.972263397445446,0.0464371497197758,0.752208848050447
"TMEM167A",2.438e-06,0,0,0,0,0,0,0,0,0,0,0.972252189263259,0.0464894582332533,0.752381305917752
"COX7C",2.446e-06,0,0,0,0,0,0,0,1,0,0,0.97216252886628,0.0465428342674139,0.752553454556684
"CHCHD7",2.448e-06,0,0,0,0,0,0,0,2,0,0,0.97214011517267,0.0465962103015746,0.752725291351153
"DAOA",2.45e-06,0,1,2,1,0,0,0,1,0,0,0.972117702041292,0.0466495863357353,0.752896817150844
"HSBP1",2.46e-06,0,0,0,0,0,0,0,4,0,1,0.972005644817202,0.0467024286095543,0.753068037405772
"PRHOXNB",2.477e-06,0,0,0,0,0,0,1,2,0,0,0.971815179787588,0.046755804643715,0.753238956969873
"SRP9",2.479e-06,0,0,0,0,0,0,0,0,0,1,0.971792774806738,0.046808646917534,0.753409568045567
"C6orf223",2.481e-06,0,1,2,0,0,0,1,3,3,2,0.971770370387877,0.0468614891913531,0.753579871470355
"WFDC10B",2.5e-06,0,2,2,0,0,0,1,4,0,0,0.971557556434901,0.0469143314651721,0.753749877821702
