"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF","pval.TADA","qvalue"
"CPSF3L",3.15e-05,0,2,8,0,0,0,2,18,6,4,0.20132437044632,0.946557245796637,0.948461358743373
"TMPRSS9",6.13e-05,0,3,6,0,2,0,16,43,9,8,0.20120747352656,0.946628769682413,0.948463553268868
"USP9X",9.12e-05,0,0,0,0,0,0,0,2,0,0,0.201205243837174,0.946650120096077,0.948465747554341
"SPTBN1",0.0001161,0,0,1,0,0,0,8,27,9,5,0.201187758471426,0.946659727782226,0.948467941653433
"BRD4",6.68e-05,0,0,3,0,0,0,3,10,3,4,0.200931148704232,0.946874299439552,0.94847013640632
"XRRA1",3.174e-05,0,2,7,0,1,0,5,24,6,7,0.200769023539548,0.946959167333867,0.948472331480961
"GALNTL1",2.755e-05,0,0,5,0,0,0,5,9,1,2,0.20074733616051,0.946982652788898,0.94847452638393
"THSD7B",6.22e-05,0,2,5,1,3,0,9,17,8,10,0.200654179387607,0.947043501467841,0.948476721366326
"ITPR3",0.000146455,0,3,5,1,1,0,11,53,15,13,0.200544592762393,0.947108620229517,0.948478916485856
"MNS1",1.627e-05,0,3,10,2,4,0,1,4,1,5,0.200307463615119,0.947208967173739,0.948481112190523
"PSME4",5.82e-05,0,1,5,0,0,0,5,17,1,2,0.200287302660091,0.947217507339205,0.948483307718128
"ZNF236",9.12e-05,0,0,0,0,0,0,7,29,7,2,0.200148900154145,0.94729223378703,0.948485503484012
"NOS3",6.73e-05,0,0,3,0,0,0,7,27,4,6,0.200118420144249,0.947321590605818,0.948487699109093
"RAB37",1.18e-05,0,0,5,0,1,0,2,6,5,0,0.200098397670042,0.947332799572992,0.948489894556666
"RETSAT",2.665e-05,0,4,12,2,3,0,4,13,3,7,0.199960853645687,0.947401120896717,0.948492090239485
"TECRL",1.184e-05,0,0,5,0,1,0,0,4,1,1,0.199769545374271,0.94749826527889,0.948494286346325
"CILP2",8.06e-05,0,0,4,1,0,0,1,24,7,6,0.199762638918051,0.947498799039231,0.948496482229579
"DHPS",2.192e-05,0,1,7,0,0,0,1,10,1,1,0.199742696184205,0.947515345609821,0.948498677935059
"GTF2B",1.185e-05,0,0,6,0,0,0,0,1,0,0,0.199731102858372,0.94752175073392,0.94850087343348
"ZNF701",1.69e-05,0,2,6,0,3,0,1,13,1,5,0.199676767945984,0.94754149986656,0.948503068874943
"IL20",6.66e-06,0,1,8,0,0,0,0,7,1,2,0.199675576758626,0.947542567387243,0.94850526407288
"NTRK3",2.922e-05,0,0,3,0,2,0,7,15,11,6,0.19966988672353,0.947546837469976,0.948507459043126
"ANAPC4",2.811e-05,0,0,5,0,0,0,2,3,3,4,0.199641570911131,0.947562850280224,0.948509653865146
"ZW10",2.799e-05,0,0,3,0,2,0,4,22,7,4,0.199392175535551,0.94767760875367,0.948511849315027
"TMEM79",2.268e-05,0,1,6,0,1,0,8,8,5,5,0.199148101709351,0.94781051507873,0.948514045374012
"PARK2",2.214e-05,0,0,7,1,0,0,9,24,10,7,0.198918782028435,0.947916199626368,0.948516241990234
"ZSWIM5",4.96e-05,0,0,3,0,1,0,6,41,3,5,0.198735259508723,0.947987723512143,0.948518439002869
"WNK2",0.000105,0,1,3,0,0,0,9,41,9,12,0.198703387717968,0.948001067520683,0.948520635879583
"CCDC144A",4.73e-05,0,0,4,0,0,0,0,7,1,0,0.198585372104066,0.948068855084067,0.94852283292274
"C7orf31",2.222e-05,0,0,6,1,1,0,2,11,2,1,0.198566392063856,0.948076861489191,0.948525029784745
"RPSA",1.149e-05,0,0,5,0,1,0,0,0,0,0,0.198291316205826,0.948266880170803,0.948527227364377
"C1orf50",7.19e-06,0,1,7,0,1,0,0,2,0,1,0.198151332247922,0.948380571123566,0.948529425187462
"CSPG4",0.000117,0,0,1,0,0,0,17,53,12,15,0.19813482804057,0.948397117694155,0.948531622820652
"CHRNB1",2.869e-05,0,0,4,0,1,0,1,11,6,5,0.198092910099141,0.94841526554577,0.948533820353158
"RASGRF1",6.82e-05,0,0,3,0,0,0,7,13,2,1,0.198008873716533,0.94847184414198,0.948536017932781
"HAP1",3.32e-05,0,2,6,0,2,0,3,8,4,4,0.197526658341026,0.948731251668001,0.948538216956625
"TMEM67",3.319e-05,0,4,13,1,0,0,3,16,4,11,0.197484653199443,0.948753669602349,0.948540415879961
"GLI1",4.73e-05,0,0,3,0,1,0,6,30,8,4,0.197453352855572,0.948769682412597,0.948542614665249
"TRIM6-TRIM34",2.955e-05,0,0,5,0,0,0,1,11,0,0,0.197426777924924,0.948780891379771,0.948544813295935
"CCDC138",2.267e-05,0,0,5,1,2,0,3,11,3,5,0.197382285196484,0.948799039231385,0.948547011834903
