"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3"
"ADAM2","2.52e-05","0","0","4","1","1","1","3","29","7","4"
"ADAM20","2.62e-05","0","0","0","3","1","0","2","9","4","7"
"ADAM21","2.511e-05","0","0","1","0","1","0","3","10","2","0"
"ADAM22","3.79e-05","0","0","1","0","0","1","5","14","6","5"
"ADAM23","3e-05","0","2","1","0","0","0","1","8","2","2"
"ADAM28","2.711e-05","0","0","8","0","2","0","5","24","5","7"
"ADAM29","2.84e-05","0","3","4","0","3","0","4","5","7","4"
"ADAM30","2.983e-05","0","5","6","0","1","0","7","13","1","3"
"ADAM32","2.335e-05","0","0","7","1","1","0","9","13","1","3"
"ADAM33","3.66e-05","1","0","5","1","1","0","2","8","2","2"
"ADAM7","2.682e-05","0","2","6","1","2","0","5","21","5","8"
"ADAM8","3.46e-05","0","1","4","1","0","0","2","9","0","0"
"ADAM9","3.03e-05","0","0","3","0","0","0","2","12","3","2"
"ADAMDEC1","1.469e-05","0","1","5","2","1","0","1","6","2","2"
"ADAMTS1","5e-05","0","0","1","1","0","0","7","20","5","6"
"ADAMTS10","6.28e-05","0","0","0","0","0","0","4","20","4","6"
"ADAMTS12","6.52e-05","0","2","3","0","0","0","9","35","14","11"
"ADAMTS13","7.2e-05","0","2","5","2","1","0","8","32","8","21"
"ADAMTS14","6.09e-05","0","1","3","1","2","0","6","36","16","7"
"ADAMTS15","6.13e-05","0","0","0","0","0","0","7","34","9","4"
"ADAMTS16","5.75e-05","0","0","1","0","1","0","5","42","13","11"
"ADAMTS17","5.18e-05","0","0","10","0","0","0","7","38","13","6"
"ADAMTS18","5.03e-05","0","5","7","2","2","0","8","42","12","12"
"ADAMTS19","3.97e-05","0","3","1","0","1","0","6","16","3","9"
"ADAMTS2","6.94e-05","0","2","1","1","1","0","5","21","4","4"
"ADAMTS20","6.75e-05","0","2","4","1","3","0","14","36","14","16"
"ADAMTS3","4.7e-05","0","0","6","0","0","0","7","17","6","11"
"ADAMTS4","4.01e-05","0","2","1","0","0","0","4","13","4","4"
"ADAMTS5","5.11e-05","0","1","0","0","0","0","7","16","8","7"
"ADAMTS6","4.12e-05","0","0","0","1","0","0","10","18","7","5"
"ADAMTS7","9.29e-05","0","0","6","2","2","2","3","17","8","8"
"ADAMTS8","3.92e-05","0","1","1","1","0","0","4","18","5","7"
"ADAMTS9","8.7e-05","0","1","2","0","2","0","8","41","14","17"
"ADAMTSL1","8.68e-05","0","0","2","1","0","0","7","59","15","11"
"ADAMTSL2","4.13e-05","0","0","0","0","0","0","2","10","3","2"
"ADAMTSL3","6.89e-05","0","1","8","1","1","0","17","54","15","15"
"ADAMTSL4","5.47e-05","0","0","10","2","0","0","11","54","9","13"
"ADAMTSL5","2.443e-05","0","0","1","0","1","1","3","16","3","5"
"ADAP1","1.723e-05","0","0","1","0","0","0","5","13","5","0"
"ADAP2","1.497e-05","0","1","6","1","3","0","4","7","0","3"
"ADAR","4.01e-05","0","0","4","1","0","0","5","21","11","6"
"ADARB1","3.67e-05","0","0","0","1","0","0","2","10","0","1"
"ADARB2","4.66e-05","0","0","2","0","0","0","8","18","1","3"
"ADAT1","1.903e-05","0","0","3","0","0","0","6","24","6","7"
"ADAT2","9.03e-06","0","1","1","0","0","0","0","5","1","1"
"ADAT3","1.635e-05","0","1","2","0","0","0","1","5","0","1"
"ADC","2.066e-05","0","1","1","0","1","0","5","20","4","7"
"ADCK1","2.666e-05","0","1","3","0","0","0","10","15","7","13"
"ADCK2","3.26e-05","0","1","12","1","1","0","8","17","5","5"
"ADCK3","3.34e-05","0","1","4","1","2","0","4","17","4","5"
"ADCK4","2.856e-05","0","1","3","0","0","0","3","14","4","3"
"ADCK5","2.618e-05","0","0","0","0","0","0","0","6","0","0"
"ADCY1","5.93e-05","0","0","0","0","0","0","3","5","2","1"
"ADCY10","5.74e-05","0","3","10","3","2","0","14","27","10","8"
"ADCY2","5.47e-05","0","0","6","1","0","0","3","14","2","4"
"ADCY3","6.34e-05","0","1","1","1","0","1","6","19","9","2"
"ADCY4","5.23e-05","0","5","7","2","1","0","8","32","9","3"
"ADCY5","6.98e-05","0","0","0","1","0","2","2","18","1","4"
"ADCY6","6.37e-05","0","0","2","0","0","0","10","21","4","6"
"ADCY7","5.74e-05","0","3","5","0","2","0","7","20","5","6"
"ADCY8","5.52e-05","0","0","8","0","0","0","5","17","3","4"
"ADCY9","7.84e-05","0","1","0","0","1","0","5","23","7","2"
"ADCYAP1","1.216e-05","0","0","0","0","0","0","0","3","0","1"
"ADCYAP1R1","1.994e-05","0","0","0","0","0","0","2","5","0","0"
"ADD1","3.066e-05","0","0","5","2","1","0","3","13","6","5"
"ADD2","3.33e-05","0","0","0","2","1","0","2","14","6","9"
"ADD3","2.487e-05","0","3","1","1","2","0","2","17","4","4"
"ADH1A","1.401e-05","0","1","2","1","0","0","6","12","4","2"
"ADH1B","1.564e-05","0","1","1","1","0","0","3","12","1","7"
"ADH1C","1.517e-05","0","0","0","0","0","0","0","1","0","0"
"ADH4","1.316e-05","0","1","1","1","1","0","2","18","2","3"
"ADH5","1.376e-05","0","0","2","1","0","0","2","6","1","6"
"ADH6","1.261e-05","0","0","0","1","0","0","3","8","5","4"
"ADH7","1.439e-05","0","0","1","1","1","0","4","13","6","0"
"ADHFE1","1.822e-05","0","1","2","0","1","0","2","10","5","4"
"ADI1","8.16e-06","0","1","0","0","1","0","1","11","0","3"
"ADIG","3.018e-06","0","0","0","0","0","0","0","0","0","0"
"ADIPOQ","1.041e-05","0","0","0","0","0","0","2","6","3","0"
"ADIPOR1","1.599e-05","0","0","1","0","0","0","1","0","0","0"
"ADIPOR2","1.423e-05","0","0","0","0","0","0","1","0","0","0"
"ADK","1.12e-05","0","0","2","0","0","0","0","7","2","0"
"ADM","1.351e-05","0","0","2","0","1","0","1","6","0","0"
"ADM2","5.32e-06","0","0","3","0","0","0","1","9","0","3"
"ADNP","3.92e-05","3","1","0","0","0","0","3","2","0","0"
"ADNP2","4.53e-05","0","0","1","0","0","0","4","14","3","3"
